UID,Text,Gold Labels,Predicted Labels
623534.html.xmi,1 Afs 17/2011- 94 - text 1 Afs 17/2011 - 102 [OBRÁZEK] ČESKÁ REPUBLIKA R O Z S U D E K J M É N E M R,0,1
624440.xmi,USNESENÍ Nejvyšší správní soud rozhodl v senátu složeném z předsedy JUDr. Bohuslava Hnízdila a soudk,0,1
710054.xmi,1 Afs 133/2022 - 64 USNESENÍ Nejvyšší správní soud rozhodl v senátu složeném z předsedy JUDr. Ivo Po,0,1
ECLI_CZ_NS_2018_29.CDO.572.2018.1.xmi,Judikát 29 Cdo 572/2018 29 Cdo 572/2018-345 U S N E S E N Í Nejvyšší soud České republiky rozhodl v ,1,1
ECLI_CZ_NS_2003_20.CDO.1981.2002.1.xmi,Judikát 20 Cdo 1981/2002 20 Cdo 1981/2002 ROZSUDEK JMÉNEM REPUBLIKY Nejvyšší soud České republiky ro,1,1
ECLI_CZ_NS_2003_33.ODO.9.2003.1.xmi,Judikát 33 Odo 9/2003 NEJVYŠŠÍ SOUD ČESKÉ REPUBLIKY 33 Odo 9/2003-103 U S N E S E N Í Nejvyšší soud ,1,1
ECLI_CZ_NS_2018_23.CDO.5145.2017.1.xmi,Judikát 23 Cdo 5145/2017 23 Cdo 5145/2017- 161 ČESKÁ REPUBLIKA ROZSUDEK JMÉNEM REPUBLIKY Nejvyšší so,1,1
ECLI_CZ_NS_2012_3.TZ.80.2012.1.xmi,Judikát 3 Tz 80/2012 3 Tz 80/2012-26ČESKÁ REPUBLIKA ROZSUDEK JMÉNEM REPUBLIKY Nejvyšší soud České re,1,1
ECLI_CZ_NS_2009_29.ODO.988.2006.1.xmi,Judikát 29 Odo 988/2006 29 Odo 988/2006 ČESKÁ REPUBLIKA ROZSUDEK JMÉNEM REPUBLIKY Nejvyšší soud Česk,0,1
ECLI_CZ_NS_2000_26.CDO.1115.2000.1.xmi,Judikát 26 Cdo 1115/2000 26 Cdo 1115/2000 ČESKÁ REPUBLIKA ROZSUDEK JMÉNEM REPUBLIKY Nejvyšší soud Če,1,1
ECLI_CZ_NS_2021_27.CDO.754.2020.2.xmi,Judikát 27 Cdo 754/2020 27 Cdo 754/2020-169 ČESKÁ REPUBLIKA ROZSUDEK JMÉNEM REPUBLIKY Nejvyšší soud ,1,1
ECLI_CZ_NS_1997_2.ODON.41.97.1.xmi,"Judikát 2 Odon 41/97 K r a j s k ý s o u d v Plzni rozsudkem ze dne 2. 4. 1997, č. j. 15 Co 61/97-42",1,1
ECLI_CZ_NS_2003_4.TZ.13.2003.1.xmi,Judikát 4 Tz 13/2003 4 Tz 13/2003 ČESKÁ REPUBLIKA R O Z S U D E K J M É N E M R E P U B L I K Y Nejv,0,1
ECLI_CZ_NS_2018_28.NCU.43.2018.1.xmi,Judikát 28 Ncu 43/2018 28 Ncu 43/2018-3 USNESENÍ Nejvyšší soud České republiky rozhodl v senátě slož,1,1
714509.xmi,6 Afs 95/2023 - 33 [OBRÁZEK] ČESKÁ REPUBLIKA ROZSUDEK JMÉNEM REPUBLIKY Nejvyšší správní soud rozhodl,0,1
ECLI_CZ_NS_2018_27.CDO.1950.2017.1.xmi,Judikát 27 Cdo 1950/2017 27 Cdo 1950/2017-386 ČESKÁ REPUBLIKA ROZSUDEK JMÉNEM REPUBLIKY Nejvyšší sou,0,1
ECLI_CZ_NS_2009_8.TDO.1596.2008.1.xmi,Judikát 8 Tdo 1596/2008 8 Tdo 1596/2008 ČESKÁ REPUBLIKA R O Z S U D E K J M É N E M R E P U B L I K ,0,1
ECLI_CZ_NS_2021_33.CDO.3027.2020.1.xmi,Judikát 33 Cdo 3027/2020 33 Cdo 3027/2020-302 ČESKÁ REPUBLIKA ROZSUDEK JMÉNEM REPUBLIKY Nejvyšší sou,1,1
ECLI_CZ_NS_2015_4.TZ.18.2015.1.xmi,Judikát 4 Tz 18/2015 4 Tz 18/2015-33ČESKÁ REPUBLIKA ROZSUDEK JMÉNEM REPUBLIKY Nejvyšší soud projedna,0,0
246118.xmi,[OBRÁZEK] ČESKÁ REPUBLIKA R O Z S U D E K J M É N E M R E P U B L I K Y Nejvyšší správní soud rozhod,1,1
ECLI_CZ_NS_2018_7.TDO.94.2018.1.xmi,Judikát 7 Tdo 94/2018 7 Tdo 94/2018-22 U S N E S E N Í Nejvyšší soud rozhodl v neveřejném zasedání d,0,1
635665.xmi,7 As 66/2015 - 73 U S N E S E N Í Nejvyšší správní soud rozhodl v senátě složeném z předsedkyně JUDr,1,1
239085.html.xmi,5 A 140/2002- 34 - text 5 A 140/2002 - 34 U s n e s e n í Nejvyšší správní soud rozhodl v senátě slo,1,1
635275.xmi,1 Afs 6/2013 - 184 [OBRÁZEK] ČESKÁ REPUBLIKA R O Z S U D E K J M É N E M R E P U B L I K Y Nejvyšší ,0,0
ECLI_CZ_NS_2003_21.CDO.850.2002.1.xmi,Judikát 21 Cdo 850/2002 21 Cdo 850/2002 ČESKÁ REPUBLIKA ROZSUDEK JMÉNEM REPUBLIKY Nejvyšší soud Česk,1,0
614872.xmi,Nejvyšší správní soud rozhodl v senátě složeném z předsedkyně JUDr. Lenky Kaniové a soudců JUDr. Mar,1,1
